iter	Passed	Remaining
0	192	76880
1	215	42845
2	236	31254
3	257	25458
4	277	21893
5	297	19526
6	316	17782
7	339	16634
8	361	15692
9	382	14927
10	403	14286
11	425	13769
12	451	13435
13	474	13086
14	496	12748
15	521	12505
16	545	12285
17	570	12099
18	594	11924
19	620	11783
20	644	11639
21	672	11554
22	700	11475
23	726	11385
24	753	11295
25	783	11272
26	812	11227
27	841	11177
28	868	11114
29	899	11093
30	928	11052
31	960	11040
32	990	11013
33	1019	10973
34	1050	10951
35	1077	10897
36	1108	10875
37	1136	10827
38	1165	10789
39	1196	10769
40	1226	10736
41	1256	10707
42	1287	10688
43	1317	10658
44	1350	10652
45	1381	10634
46	1415	10628
47	1446	10605
48	1477	10584
49	1510	10575
50	1541	10551
51	1573	10530
52	1605	10512
53	1636	10484
54	1667	10458
55	1699	10440
56	1732	10426
57	1763	10399
58	1796	10381
59	1829	10368
60	1862	10352
61	1897	10346
62	1929	10319
63	1958	10283
64	1986	10239
65	2016	10205
66	2046	10171
67	2077	10143
68	2107	10109
69	2137	10076
70	2165	10032
71	2197	10013
72	2229	9988
73	2264	9977
74	2294	9941
75	2324	9909
76	2354	9877
77	2385	9848
78	2413	9807
79	2442	9770
80	2469	9727
81	2499	9691
82	2528	9657
83	2557	9619
84	2588	9591
85	2618	9562
86	2650	9536
87	2683	9514
88	2712	9479
89	2745	9457
90	2777	9432
91	2807	9399
92	2838	9369
93	2870	9343
94	2901	9316
95	2932	9285
96	2964	9259
97	2997	9236
98	3027	9205
99	3058	9174
100	3087	9140
101	3118	9111
102	3150	9084
103	3183	9059
104	3217	9040
105	3250	9015
106	3282	8988
107	3313	8957
108	3342	8924
109	3373	8894
110	3401	8857
111	3431	8823
112	3457	8782
113	3485	8745
114	3515	8713
115	3545	8679
116	3574	8645
117	3604	8614
118	3636	8586
119	3668	8559
120	3702	8537
121	3759	8567
122	3821	8606
123	3867	8607
124	3934	8655
125	4253	9250
126	4885	10502
127	5243	11143
128	5590	11743
129	5995	12451
130	6330	12999
131	6638	13478
132	6839	13729
133	7476	14841
134	7877	15463
135	8276	16066
136	8493	16304
137	8687	16493
138	8932	16772
139	9207	17099
140	9384	17238
141	9735	17689
142	9993	17960
143	10168	18077
144	10434	18350
145	10685	18589
146	10815	18614
147	11105	18909
148	11373	19159
149	11506	19177
150	11716	19320
151	12166	19850
152	12750	20584
153	12968	20716
154	13087	20686
155	13307	20814
156	13761	21299
157	14339	21962
158	14645	22197
159	14860	22291
160	15101	22418
161	15352	22555
162	15468	22491
163	15681	22566
164	15920	22675
165	16156	22774
166	16286	22723
167	16570	22882
168	16858	23043
169	17094	23127
170	17516	23457
171	17747	23525
172	17849	23420
173	18009	23392
174	18165	23355
175	18324	23321
176	18458	23255
177	18636	23242
178	18899	23333
179	19147	23402
180	19308	23362
181	19578	23450
182	19831	23515
183	20066	23556
184	20284	23574
185	20507	23594
186	20731	23614
187	20860	23523
188	21028	23476
189	21241	23477
190	21485	23510
191	21627	23430
192	21804	23386
193	22079	23444
194	22366	23513
195	22496	23414
196	22801	23495
197	23041	23507
198	23227	23460
199	23486	23486
200	23846	23609
201	24049	23573
202	24224	23508
203	24406	23449
204	24586	23387
205	24728	23288
206	24870	23188
207	25104	23173
208	25314	23134
209	25490	23062
210	25605	22935
211	25849	22923
212	26092	22907
213	26275	22837
214	26442	22752
215	26658	22709
216	26872	22661
217	27041	22576
218	27246	22519
219	27485	22488
220	27723	22454
221	27834	22317
222	28039	22255
223	28485	22381
224	28835	22427
225	29105	22408
226	29253	22294
227	29450	22216
228	29632	22127
229	29809	22033
230	29961	21919
231	30091	21790
232	30280	21703
233	30447	21599
234	30592	21480
235	30799	21403
236	30959	21292
237	31186	21227
238	31359	21124
239	31544	21029
240	31723	20929
241	31954	20863
242	32148	20770
243	32317	20661
244	32479	20547
245	32750	20502
246	32970	20423
247	33324	20424
248	33812	20504
249	33958	20375
250	34100	20242
251	34244	20111
252	34382	19977
253	34513	19838
254	34630	19692
255	34869	19614
256	35091	19525
257	35295	19426
258	35407	19276
259	35629	19185
260	35888	19113
261	36063	18995
262	36244	18880
263	36477	18791
264	36706	18699
265	36858	18567
266	37142	18501
267	37386	18414
268	37565	18294
269	37615	18111
270	37635	17914
271	37653	17719
272	37669	17523
273	37686	17330
274	37702	17137
275	37719	16946
276	37734	16755
277	37749	16566
278	37765	16378
279	37780	16191
280	37797	16006
281	37814	15822
282	37831	15640
283	37849	15459
284	37867	15279
285	37885	15101
286	37901	14922
287	37918	14746
288	37935	14570
289	37951	14395
290	37967	14221
291	37985	14049
292	38002	13877
293	38018	13707
294	38033	13537
295	38050	13369
296	38068	13202
297	38084	13035
298	38101	12870
299	38118	12706
300	38134	12542
301	38151	12380
302	38166	12218
303	38183	12057
304	38198	11898
305	38214	11739
306	38229	11580
307	38244	11423
308	38258	11266
309	38272	11111
310	38293	10958
311	38308	10804
312	38321	10651
313	38337	10499
314	38352	10348
315	38366	10198
316	38381	10049
317	38396	9900
318	38411	9753
319	38425	9606
320	38441	9460
321	38456	9315
322	38471	9171
323	38485	9027
324	38500	8884
325	38515	8742
326	38531	8601
327	38546	8461
328	38560	8321
329	38576	8182
330	38592	8044
331	38608	7907
332	38624	7771
333	38641	7635
334	38657	7500
335	38674	7366
336	38688	7232
337	38706	7100
338	38722	6967
339	38737	6835
340	38751	6704
341	38766	6574
342	38781	6444
343	38795	6315
344	38810	6187
345	38825	6059
346	38841	5932
347	38856	5806
348	38870	5680
349	38884	5554
350	38900	5430
351	38915	5306
352	38930	5183
353	38944	5060
354	38959	4938
355	38975	4817
356	38990	4696
357	39004	4575
358	39020	4456
359	39034	4337
