feature,importance,importance_pct
link_congestion_rate,42.63344505509656,42.63
total_vehs,7.574430493500095,7.57
minute_of_day,7.504088975128442,7.5
mean_queue_s,6.875242455284322,6.88
speed_var_across_lanes,4.297074069427986,4.3
mean_occup,4.049218596753956,4.05
max_queue_s,3.906820102395446,3.91
congestion_index,3.069660003931178,3.07
is_am_peak,2.9274838781698374,2.93
max_occup,2.574409974555618,2.57
cos_hour,2.0031389937770223,2.0
is_pm_peak,1.989158418243636,1.99
mean_speed_kmh,1.895200601783353,1.9
speed_div_L1,1.8740320475870826,1.87
mean_speed_div,1.7501678820461928,1.75
day_of_week,1.6704125364720548,1.67
sin_hour,1.5611833183867398,1.56
road_health_score,1.4953886984750815,1.5
lane_active_count,0.15346565660056127,0.15
hour,0.1044884130496486,0.1
lane6_active,0.07809214881225075,0.08
is_weekend,0.013397680522962533,0.01
lane4_stalled,0.0,0.0
lane5_stalled,0.0,0.0
